Tipo de convocatoria,Título,Órgano convocante,Localización,Importe,Procedimiento,Actividad,Enlace al detalle de la convocatoria,Enlace original
LICITACION,"Suministro, instalación y puesta en servicio de trece equipos de recarga semi-rápidos y dos equipos de recarga rápidos para vehículos eléctricos e híbridos enchufables en instalaciones de la Confederación Hidrográfica del Tajo, en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - España,"196.337,20 euros",Abierto,31158000 Cargadores.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=b9bvNdCcSynECtSnloz%2BZQ%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/12805781/suministro-instalacion-y-puesta-en-servicio-de-trece-equipos-de-recarga-semi-rapidos-y-dos-equipos-de-recarga-rapidos-para-vehiculos-electricos-e-hibridos-enchufables-en-instalaciones-de-la-confederacion-hidrografica-del-tajo-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Programa de aplicación de los planes de ordenación del espacio marítimo (AOM), en el Marco del Plan de Recuperación, Transformación y Resiliencia (PRTR).",Secretaría de Estado de Medio Ambiente,España - España,"1.239.669,42 euros",Abierto,71311000 Servicios de consultoría en ingeniería civil.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=NYL1%2BjdIUGl%2BF6L2uCfUWg%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/13012998/programa-de-aplicacion-de-los-planes-de-ordenacion-del-espacio-maritimo-aom-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Implantación de una plataforma integral de gestión de la seguridad de las presas estatales de la Dirección General del Agua, que facilite el uso de la tecnología BIM en las labores de seguridad, en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - España,"3.412.232,93 euros",Abierto,71310000 Servicios de consultoría en ingeniería y construcción.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=TrxOUDKvk%2F16nTs9LZ9RhQ%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/13052293/implantacion-de-una-plataforma-integral-de-gestion-de-la-seguridad-de-las-presas-estatales-de-la-direccion-general-del-agua-que-facilite-el-uso-de-la-tecnologia-bim-en-las-labores-de-seguridad-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Renovación del Sistema Integrado de Meteorología del Aeropuerto de Málaga, en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - Málaga,"2.149.117,83 euros",Abierto,38100000 Instrumentos de navegación y meteorológicos. 38120000 Instrumentos de meteorología.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=nautWBUASLs%2FbjW6njtWLw%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/13098964/renovacion-del-sistema-integrado-de-meteorologia-del-aeropuerto-de-malaga-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Renovación del Sistema Integrado de Meteorología del Aeropuerto de Lanzarote, en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - Lanzarote,"1.096.470,94 euros",Abierto,38100000 Instrumentos de navegación y meteorológicos. 38120000 Instrumentos de meteorología.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=bxC0XzcEqxqkU02jNGj1Fw%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/13098966/renovacion-del-sistema-integrado-de-meteorologia-del-aeropuerto-de-lanzarote-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Renovación del Sistema Integrado de Meteorología del Aeropuerto de Gran Canaria, en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - Gran Canaria,"1.273.360,64 euros",Abierto,38100000 Instrumentos de navegación y meteorológicos. 38120000 Instrumentos de meteorología.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=irIoSjotRpcmMOlAXxDEjw%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/13098967/renovacion-del-sistema-integrado-de-meteorologia-del-aeropuerto-de-gran-canaria-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Renovación del Sistema Integrado de Meteorología del Aeropuerto de Fuerteventura, en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - Fuerteventura,"1.142.101,79 euros",Abierto,38100000 Instrumentos de navegación y meteorológicos. 38120000 Instrumentos de meteorología.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=FhqWEM%2BPBvN9Zh%2FyRJgM8w%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/13098968/renovacion-del-sistema-integrado-de-meteorologia-del-aeropuerto-de-fuerteventura-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Elaboración y desarrollo de una aplicación informática para la creación y gestión del registro de seguridad de presas y embalses, en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - España,"2.598.397,18 euros",Abierto,72514200 Servicios de gestión de instalaciones para el desarrollo de sistemas informáticos.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=AX2zjmJYUfkaF6cS8TCh%2FA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/13264805/elaboracion-y-desarrollo-de-una-aplicacion-informatica-para-la-creacion-y-gestion-del-registro-de-seguridad-de-presas-y-embalses-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Integración de Nuevas Operatividades en la Plataforma DIOCLES PLUS por Fases, FASE 4 para la Comisión Española para la Lucha Antidopaje en el Deporte (CELAD)",Dirección de la Agencia Estatal Comisión Española para la Lucha Antidopaje en el Deporte (CELAD),España - Madrid,"148.931,38 euros",Abierto,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo.",https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=ANaHueXn75%2B2gkLQ8TeYKA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/13380573/integracion-de-nuevas-operatividades-en-la-plataforma-diocles-plus-por-fases-fase-4-para-la-comision-espanola-para-la-lucha-antidopaje-en-el-deporte-celad
LICITACION,"Suministro de analizadores en continuo para las EDAR'S Palma 1, Palma 2 y emisario, enmarcado en el plan de recuperación, transformación y resiliencia- Financiado por la Unión Europea-NEXTGENERATIONEU","Gerencia de EMAYA, Empresa Municipal d'Aigües i Clavegueram, S.A.",España - Mallorca,"246.000,00 euros",Abierto,33141641 Sondas. 38433300 Analizador de espectro.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=yQO4A8RO%2F%2F%2FXOjazN1Dw9Q%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/13422745/suministro-de-analizadores-en-continuo-para-las-edars-palma-1-palma-2-y-emisario-enmarcado-en-el-plan-de-recuperacion-transformacion-y-resiliencia-financiado-por-la-union-europea-nextgenerationeu
LICITACION,Contrato menor de obras para mejorar instalaciones y zonas municipales a través de la Subvención Reserva de la Biosfera Tajo Internacional.,Alcaldía del Ayuntamiento de Herreruela,España - Cáceres,"23.749,55 euros",Abierto,45000000 Trabajos de construcción.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=EvtBIbtdknUaF6cS8TCh%2FA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/13934578/contrato-menor-de-obras-para-mejorar-instalaciones-y-zonas-municipales-a-traves-de-la-subvencion-reserva-de-la-biosfera-tajo-internacional
LICITACION,"Servicio de limpieza de colegios, dependencias e instalaciones municipales",Alcaldía del Ayuntamiento de Puçol,España - Valencia/València,"843.500,37 euros",Abierto,90910000 Servicios de limpieza.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=t71je30oUJ7LIx6q1oPaMg%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/14316239/servicio-de-limpieza-de-colegios-dependencias-e-instalaciones-municipales
LICITACION,"Servicio de telefonía fija, móvil y comunicaciones para la Diputación Provincial de Toledo 2024 a 2028",Presidencia de la Diputación Provincial de Toledo,España - Toledo,"1.270.000,00 euros",Abierto,64200000 Servicios de telecomunicaciones. 72315200 Servicios de gestión de redes de datos. 72318000 Servicios de transmisión de datos.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=tn7fHto7S%2FUQyBAnWzHfCg%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/14329367/servicio-de-telefonia-fija-movil-y-comunicaciones-para-la-diputacion-provincial-de-toledo-2024-a-2028
LICITACION,Servicio de digitalización del patrimonio prehistórico de Cantabria para el Plan de Digitalización e inteligencia artificial del Patrimonio Prehistorico de Cantabria y Asturias,"Consejería de Cultura, Turismo y Deporte de la Comunidad Autónoma de Cantabria",España - Cantabria,"2.116.000,00 euros",Abierto,71354000 Servicios de cartografía. 79811000 Servicios de impresión digital.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=dy8hjtwbZ4vI8aL3PRS10Q%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/14653728/servicio-de-digitalizacion-del-patrimonio-prehistorico-de-cantabria-para-el-plan-de-digitalizacion-e-inteligencia-artificial-del-patrimonio-prehistorico-de-cantabria-y-asturias
LICITACION,Suministro de contenedores de superficie y suministro e instalación de cubrecontenedores,Consejo de Administración de la Compañía para la Gestión de Residuos Sólidos en Asturias S.A.,España - Asturias,"297.400,00 euros",Abierto,34928400 Mobiliario urbano. 44613800 Contenedores para residuos. 45233293 Instalación de mobiliario urbano.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2BvJ1bUHb4OF9Zh%2FyRJgM8w%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/14751800/suministro-de-contenedores-de-superficie-y-suministro-e-instalacion-de-cubrecontenedores
LICITACION,Suministro de lavacontenedores y vehículos recolectores,Consejo de Administración de la Compañía para la Gestión de Residuos Sólidos en Asturias S.A.,España - Asturias,"3.000.000,00 euros",Abierto,34142000 Camiones grúa y camiones volquete. 34144512 Vehículos compactadores de basuras.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=quMacZczTqVrhBlEHQFSKA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/14751803/suministro-de-lavacontenedores-y-vehiculos-recolectores
LICITACION,"PSTD 25 Implantación señalización turística, servicio redacción plan señalización turística Sierra de las Nieves",Presidencia de la Mancomunidad de Municipios Sierra de las Nieves,España - Málaga,"220.538,19 euros",Abierto,31620000 Aparatos de señalización acústica o visual. 34922000 Equipo de señalización de carreteras. 34928470 Señalización.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=LnL9%2F78vRdfua%2Fi14w%2FPLA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/14759253/pstd-25-implantacion-senalizacion-turistica-servicio-redaccion-plan-senalizacion-turistica-sierra-de-las-nieves
LICITACION,"PSTD EJE 3 Act 14 (creación portal web turístico), Act 15 ( app itinerarios), Act 17 ( marca del territorio), Act 18 ( marco digital contenidos) y Act 19 (promoción turística y digital)",Presidencia de la Mancomunidad de Municipios Sierra de las Nieves,España - Málaga,"297.520,66 euros",Abierto,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo.",https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=qggKcrsPvaZPpzdqOdhuWg%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/14759262/pstd-eje-3-act-14-creacion-portal-web-turistico-act-15-app-itinerarios-act-17-marca-del-territorio-act-18-marco-digital-contenidos-y-act-19-promocion-turistica-y-digital
LICITACION,"Adquisición e instalación de equipamientos de última generación para desarrollar la plataforma de genómica, HiTech-IAC3-BIO, en el Centro Balear de Biodiversidad de la Universidad de las Islas Baleares ubicado en el Complejo Balear de Investigación, Desarrollo Tecnológico e Innovación (Complejo I+D+I).",Rectorado de la Universidad de les Illes Balears,España - Illes Balears,"465.000,00 euros",Abierto,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas). 38400000 Instrumentos de medida o control de características físicas. 38900000 Instrumentos de evaluación o ensayo diversos.",https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=31I4CAJolr%2B5HQrHoP3G5A%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15090940/adquisicion-e-instalacion-de-equipamientos-de-ultima-generacion-para-desarrollar-la-plataforma-de-genomica-hitech-iac3-bio-en-el-centro-balear-de-biodiversidad-de-la-universidad-de-las-islas-baleares-ubicado-en-el-complejo-balear-de-investigacion-desarrollo-tecnologico-e-innovacion-complejo-i-d-i
LICITACION,"Este contrato tiene por objeto la adquisición de un sistema de teledetección de emisiones, cuyas características se especifican en el pliego de prescripciones técnicas particulares.",Junta de Gobierno del Ayuntamiento de Alcobendas,España - Madrid,"287.500,00 euros",Abierto,30211300 Plataformas informáticas. 38341500 Aparatos para el control de la contaminación. 72222300 Servicios de tecnología de la información. 72268000 Servicios de suministro de «software». 72416000 Proveedores de servicio de aplicaciones. 90715000 Servicios de estudio de la contaminación.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=52v6LX7WjxZ9Zh%2FyRJgM8w%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15472139/este-contrato-tiene-por-objeto-la-adquisicion-de-un-sistema-de-teledeteccion-de-emisiones-cuyas-caracteristicas-se-especifican-en-el-pliego-de-prescripciones-tecnicas-particulares
LICITACION,"Cambio a tecnología LED de los sistemas de alumbrado de las presas y sus poblados de la zona de Córdoba e instalaciones eléctricas asociadas, en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - Córdoba,"4.851.113,09 euros",Abierto,45000000 Trabajos de construcción. 45315300 Instalaciones de suministro de electricidad. 45316000 Trabajos de instalación de sistemas de alumbrado y señalización. 45316100 Instalación de equipo de alumbrado exterior. 45317000 Otros trabajos de instalación eléctrica.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Drh2QQx1hoyzz8fXU2i3eQ%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15551932/cambio-a-tecnologia-led-de-los-sistemas-de-alumbrado-de-las-presas-y-sus-poblados-de-la-zona-de-cordoba-e-instalaciones-electricas-asociadas-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Contrato de servicios en el marco del proyecto denominado “Entender: fomentar la comprensión a través del lenguaje claro en la administración” para la implantación de la comunicación clara, lenguaje claro y lectura fácil en la Administración Pública de la Comunidad Autónoma de Canarias, financiado con fondos NEXT GENERATION EU, Mecanismo de Recuperación y Resiliencia MRR.",Viceconsejería de Administraciones y Transparencia de la Comunidad Autónoma de Canarias,España - Canarias,"907.494,00 euros",Abierto,79552000 Servicios de tratamiento de textos. 79970000 Servicios de edición.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=rO%2Bwg30spS4l5NjlNci%2BtA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15656804/contrato-de-servicios-en-el-marco-del-proyecto-denominado-entender-fomentar-la-comprension-a-traves-del-lenguaje-claro-en-la-admnistracion-para-la-implantacion-de-la-comunicacion-clara-lenguaje-claro-y-lectura-facil-en-la-admnistracion-publica-de-la-comunidad-autonoma-de-canarias-financiado-con-fondos-next-generation-eu-mecanismo-de-recuperacion-y-resiliencia-mrr
LICITACION,Servicios de consultoría para la redacción del estudio técnico y económico para la gestión del ciclo urbano del agua en la provincia de Granada,Presidencia de la Diputación Provincial de Granada,España - Granada,"826.882,72 euros",Abierto,71300000 Servicios de ingeniería. 71356200 Servicios de asistencia técnica.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=CF4UA86rcIAzjChw4z%2FXvw%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15756220/servicios-de-consultoria-para-la-redaccion-del-estudio-tecnico-y-economico-para-la-gestion-del-ciclo-urbano-del-agua-en-la-provincia-de-granada
LICITACION,"Aportación de arena y mejora de los dispositivos de retención de la misma en la playa de Matalascañas T. M. de Almonte (Huelva), en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - Huelva,"4.958.564,56 euros",Abierto,45244000 Obras marítimas.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=nBNn6uWmlx5VkTabT%2FRM8A%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15843232/aportacion-de-arena-y-mejora-de-los-dispositivos-de-retencion-de-la-misma-en-la-playa-de-matalascanas-t-m-de-almonte-huelva-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Proyecto de instalación solar fotovoltaica de autoconsumo de 9 MWp ""La Grulla"", T.M. de Palma del Río (Córdoba), en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - Córdoba,"9.497.830,65 euros",Abierto,45000000 Trabajos de construcción.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=jCOvY1YpNR5Whbmkna2nXQ%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15843271/proyecto-de-instalacion-solar-fotovoltaica-de-autoconsumo-de-9-mwp-la-grulla-t-m-de-palma-del-rio-cordoba-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Proyecto de renovación y eficiencia energética de la sede de la Confederación Hidrográfica del Guadalquivir en Jaén (C/ Santo Reino nº 5 y 7), en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - Jaén,"476.622,18 euros",Abierto,45000000 Trabajos de construcción.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=mThJjbdX6jGS81gZFETWmA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15843287/proyecto-de-renovacion-y-eficiencia-energetica-de-la-sede-de-la-confederacion-hidrografica-del-guadalquivir-en-jaen-c-santo-reino-n-5-y-7-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
